기관,설명(무슨 기관인가),전화번호,주소,홈페이지 / 이메일,이용기간(업무시간),추천 대상
법무부 출입국·외국인정책본부,체류자격·비자·출입국 정책을 총괄하는 법무부 중앙기관,"1345 (국번없이)
해외: +82-1345","경기도 과천시 관문로 47
(정부과천청사 1동)",www.immigration.go.kr,"평일 09:00~22:00
(18시 이후 야간은 한/영/중만 가능)","비자 연장, 체류자격 변경 등 공식 출입국 절차를 문의하는 모든 외국인 노동자"
하이코리아(Hi Korea),체류·비자 민원을 온라인으로 접수·처리하는 법무부 포털,1345 (동일),"법무부 산하 온라인 포털
(별도 오프라인 주소 없음)",www.hikorea.go.kr,"온라인 24시간
문의전화 평일 09:00~18:00",체류기간 연장 등을 직접 온라인으로 신청하려는 사람
1345 외국인종합안내센터,"법무부·고용노동부 공동 운영 다국어 통합 콜센터.
ARS 1번 한국어, 2번 영어, 3번 중국어, 4번 베트남어 등 20개 이상 언어",1345 (국번없이),"법무부·고용노동부 공동 운영
(콜센터, 별도 주소 없음)",-,평일 09:00~22:00,어떤 기관에 연락해야 할지 모를 때 첫 상담 창구로 이용할 사람
고용노동부 외국인력담당과,외국인 고용허가제(EPS) 정책을 담당하는 중앙부처 부서,044-202-7153,"세종특별자치시 한누리대로 422
정부세종청사 11동",www.moel.go.kr,평일 09:00~18:00,고용허가제 관련 정책·제도를 문의하는 사업주 또는 관계기관
"고용노동부 부서별 직통번호
(임금체불·근로시간·해고 등)",임금근로시간정책과(근로시간·휴게) 044-202-7545 / 근로기준정책과(소년) 044-202-7536 / 여성고용정책과(여성) 044-202-7475 / 근로기준정책과(해고·취업규칙 등) 044-202-7534 / 근로기준정책과(임금) 044-202-7548 / 임금근로시간정책과(적용제외·특례업종) 044-202-7982 / 임금근로시간정책과(휴일·연차휴가) 044-202-7973 / 임금근로시간정책과(유연근로시간제) 044-202-7530,왼쪽 설명 참고,"정부세종청사
(부서별 동/층 미확인)",www.moel.go.kr,평일 09:00~18:00,사안이 명확해 담당 부서로 바로 연결하고 싶은 사람 (1차 상담은 1350 권장)
"외국인근로자 상담센터
(고용노동부/HRD Korea)","고용허가제(E-9,H-2) 외국인 근로자·사업주 고충상담 및 통역 지원. 한국산업인력공단 위탁 운영",1577-0071,"경기도 안산시 단원구 고잔2길 16,
에머랄드빌딩 3층",eps.hrdkorea.or.kr,365일 연중무휴 09:00~18:00,17개국 언어(베트남어·중국어·네팔어·캄보디아어·몽골어·태국어 등) 통역이 필요한 상담. 콜센터가 주 기능이라 방문 전 유선 확인 권장
"한국산업인력공단(HRD Korea)
경기지사(EPS)",고용허가제(EPS) 행정 업무를 담당하는 공단 경기지사,1577-0071 (EPS 고객센터),"경기도 수원시 권선구 호매실로 46-68
한국산업인력공단경기지사청사 3층(탑동)",eps.hrdkorea.or.kr,평일 09:00~18:00,수원 인근에서 EPS 행정 절차를 대면으로 처리하려는 사람
안전보건공단(KOSHA),"산업재해 예방, 산재보험 관련 업무를 담당하는 공공기관","1644-4544
(052-703-0500)","울산광역시 중구 종가로 400
(본사, 성안동)","www.kosha.or.kr
clean.kosha.or.kr(클린사업장)",평일 09:00~18:00,산업재해·작업장 안전 문제를 겪는 근로자
다누리 콜센터(여성가족부),결혼이민자·다문화가족 대상 다국어 상담 콜센터. 수원센터 별도 운영,"1577-1366
(수원센터: 031-257-1841)","경기도 수원시 팔달구 팔달로 131,
5층(화서동) - 수원센터",-,"365일 09:00~18:00
(18시 이후 1577-1366 자동연결, 24시간)",13개국 언어 3자 통역이 필요한 결혼이민자·다문화가족 및 자녀
국가인권위원회 콜센터,인권침해·차별행위 진정을 접수하는 독립 국가기관,"1331 (인권상담)
02-2125-9700 (대표)","서울특별시 중구 삼일대로 340
나라키움 저동빌딩 10~15층",www.humanrights.go.kr,-,"직장 내 차별, 인권침해를 겪어 공식 진정을 제기하려는 사람"
